Test,Operation,A,B,Expected Output,Actual Output,CarryOut,Zero,Status
1,ADD,0101,0011,1000,1000,0,0,PASS
2,SUB,1000,0011,0101,0101,0,0,PASS
3,AND,1100,1010,1000,1000,0,0,PASS
4,OR,1100,1010,1110,1110,0,0,PASS
5,XOR,1100,1010,0110,0110,0,0,PASS
6,NOT A,1010,0000,0101,0101,0,0,PASS
7,INC A,0101,0000,0110,0110,0,0,PASS
8,DEC A,0101,0000,0100,0100,0,0,PASS
9,ADD + Carry,1111,0001,0000,0000,1,1,PASS
10,SUB -> Zero,0101,0101,0000,0000,0,1,PASS
11,INC + Carry,1111,0000,0000,0000,1,1,PASS
12,DEC 0,0000,0000,1111,1111,1,0,PASS
